ID,VendaID,Data,Produto,Categoria,Quantidade,Preco_Unitario,Valor_Total,Cliente_ID,Forma_Pagamento,Vendedor,Loja
1,1001,2024-01-15,Smartphone XYZ,Eletrônicos,1,899.99,899.99,201,Cartão Crédito,Ana Silva,Loja A
2,1002,2024-01-15,Fone Bluetooth,Acessórios,2,79.99,159.98,202,Cartão Débito,Carlos Lima,Loja B
3,1003,2024-01-16,Notebook Gamer,Eletrônicos,1,2499.99,2499.99,203,PIX,Ana Silva,Loja A
4,1004,2024-01-16,Camiseta Básica,Vestuário,3,29.99,89.97,204,Dinheiro,Beatriz Souza,Loja C
5,1005,2024-01-17,Tênis Esportivo,Calçados,1,199.99,199.99,205,Cartão Crédito,Carlos Lima,Loja B
6,1006,2024-01-17,Tablet 10",Eletrônicos,1,499.99,499.99,206,Cartão Débito,Ana Silva,Loja A
7,1007,2024-01-18,Moletom Capuz,Vestuário,2,89.99,179.98,207,PIX,Beatriz Souza,Loja C
8,1008,2024-01-18,Cadeira Gamer,Móveis,1,799.99,799.99,208,Cartão Crédito,Carlos Lima,Loja B
9,1009,2024-01-19,Smartwatch,Acessórios,1,299.99,299.99,209,Cartão Débito,Ana Silva,Loja A
10,1010,2024-01-19,Calça Jeans,Vestuário,2,119.99,239.98,210,Dinheiro,Beatriz Souza,Loja C
11,1011,2024-01-20,Cafeteira,Eletrodomésticos,1,159.99,159.99,211,Cartão Crédito,Carlos Lima,Loja B
12,1012,2024-01-20,Fone de Ouvido,Acessórios,3,49.99,149.97,212,PIX,Ana Silva,Loja A
13,1013,2024-01-21,Sapato Social,Calçados,1,179.99,179.99,213,Cartão Débito,Beatriz Souza,Loja C
14,1014,2024-01-21,Monitor 24",Eletrônicos,1,699.99,699.99,214,Cartão Crédito,Carlos Lima,Loja B
15,1015,2024-01-22,Blusa de Frio,Vestuário,2,69.99,139.98,215,Dinheiro,Ana Silva,Loja A
16,1016,2024-01-22,Mouse Gamer,Acessórios,1,89.99,89.99,216,PIX,Beatriz Souza,Loja C
17,1017,2024-01-23,Teclado Mecânico,Acessórios,1,199.99,199.99,217,Cartão Crédito,Carlos Lima,Loja B
18,1018,2024-01-23,Vestido Festa,Vestuário,1,159.99,159.99,218,Cartão Débito,Ana Silva,Loja A
19,1019,2024-01-24,Air Fryer,Eletrodomésticos,1,299.99,299.99,219,Dinheiro,Beatriz Souza,Loja C
20,1020,2024-01-24,Tênis Casual,Calçados,2,129.99,259.98,220,PIX,Carlos Lima,Loja B
21,1021,2024-01-25,Camera Digital,Eletrônicos,1,899.99,899.99,221,Cartão Crédito,Ana Silva,Loja A
22,1022,2024-01-25,Bermuda,Vestuário,3,39.99,119.97,222,Cartão Débito,Beatriz Souza,Loja C
23,1023,2024-01-26,Micro-ondas,Eletrodomésticos,1,459.99,459.99,223,PIX,Carlos Lima,Loja B
24,1024,2024-01-26,Capa Celular,Acessórios,5,19.99,99.95,224,Dinheiro,Ana Silva,Loja A
25,1025,2024-01-27,Sandália,Calçados,2,59.99,119.98,225,Cartão Crédito,Beatriz Souza,Loja C
